session_id,T,Interviewer mentions 30 minutes / half an hour,Participant mentions 30 minutes / half an hour,"Participant mentions before any interviewer mention, or without one",Participant mentions after an interviewer mention
MI-MAINEXP-13656121,1,False,True,True,False
MI-MAINEXP-13666019,1,False,False,False,False
MI-MAINEXP-13759398,0,False,False,False,False
MI-MAINEXP-13765248,3,False,False,False,False
MI-MAINEXP-13816242,0,True,True,True,False
MI-MAINEXP-13911298,2,False,False,False,False
MI-MAINEXP-1394310,3,True,True,True,True
MI-MAINEXP-13954244,1,False,False,False,False
MI-MAINEXP-13994730,2,False,False,False,False
MI-MAINEXP-13995410,2,False,False,False,False
MI-MAINEXP-14028825,2,False,False,False,False
MI-MAINEXP-14056709,2,False,False,False,False
MI-MAINEXP-1406048,3,False,False,False,False
MI-MAINEXP-14088416,2,False,False,False,False
MI-MAINEXP-14152635,2,False,False,False,False
MI-MAINEXP-14159391,0,True,True,True,False
MI-MAINEXP-1424032,2,False,False,False,False
MI-MAINEXP-14260829,1,False,False,False,False
MI-MAINEXP-14317302,1,False,False,False,False
MI-MAINEXP-14335610,2,True,True,True,False
MI-MAINEXP-14341498,3,True,False,False,False
MI-MAINEXP-14362695,2,False,False,False,False
MI-MAINEXP-14467416,3,False,True,True,False
MI-MAINEXP-14488173,0,False,False,False,False
MI-MAINEXP-14531858,2,False,False,False,False
MI-MAINEXP-14637463,2,False,False,False,False
MI-MAINEXP-14643736,0,False,False,False,False
MI-MAINEXP-14697155,0,False,False,False,False
MI-MAINEXP-14713011,1,False,False,False,False
MI-MAINEXP-14750235,0,False,False,False,False
MI-MAINEXP-1480148,2,False,False,False,False
MI-MAINEXP-14915732,0,False,False,False,False
MI-MAINEXP-14955932,3,True,True,False,True
MI-MAINEXP-14961825,3,False,True,True,False
MI-MAINEXP-14970410,2,True,True,True,False
MI-MAINEXP-14985338,3,True,True,False,True
MI-MAINEXP-15014386,0,False,False,False,False
MI-MAINEXP-15060880,0,False,False,False,False
MI-MAINEXP-15061229,2,False,False,False,False
MI-MAINEXP-15216083,2,False,False,False,False
MI-MAINEXP-15222831,2,False,False,False,False
MI-MAINEXP-15232275,0,False,False,False,False
MI-MAINEXP-15242387,1,False,False,False,False
MI-MAINEXP-15258308,3,True,True,True,True
MI-MAINEXP-15302384,2,False,False,False,False
MI-MAINEXP-15311298,3,False,False,False,False
MI-MAINEXP-1531824,3,True,False,False,False
MI-MAINEXP-15329413,2,False,False,False,False
MI-MAINEXP-15378897,3,True,True,False,True
MI-MAINEXP-15540880,3,True,True,False,True
MI-MAINEXP-15587177,3,False,False,False,False
MI-MAINEXP-15629210,0,False,False,False,False
MI-MAINEXP-15631066,2,False,False,False,False
MI-MAINEXP-15723171,0,True,False,False,False
MI-MAINEXP-1576948,3,True,True,True,False
MI-MAINEXP-15775116,3,True,True,True,False
MI-MAINEXP-15775152,1,False,False,False,False
MI-MAINEXP-15777572,3,False,True,True,False
MI-MAINEXP-15816453,2,False,False,False,False
MI-MAINEXP-1590210,2,False,False,False,False
MI-MAINEXP-15934284,1,False,False,False,False
MI-MAINEXP-15947500,3,True,True,True,False
MI-MAINEXP-1601263,2,False,False,False,False
MI-MAINEXP-16021745,1,False,False,False,False
MI-MAINEXP-16052425,2,True,True,True,True
MI-MAINEXP-16058570,0,False,False,False,False
MI-MAINEXP-1611529,0,False,False,False,False
MI-MAINEXP-16137558,3,True,True,True,False
MI-MAINEXP-16192025,1,False,False,False,False
MI-MAINEXP-16201229,0,False,True,True,False
MI-MAINEXP-16234891,2,False,False,False,False
MI-MAINEXP-16236052,3,True,False,False,False
MI-MAINEXP-16236448,2,False,False,False,False
MI-MAINEXP-16250072,2,False,False,False,False
MI-MAINEXP-1625457,2,False,False,False,False
MI-MAINEXP-1627813,0,False,False,False,False
MI-MAINEXP-16362106,0,False,False,False,False
MI-MAINEXP-16386813,3,True,False,False,False
MI-MAINEXP-16402581,0,False,False,False,False
MI-MAINEXP-16488972,0,False,False,False,False
MI-MAINEXP-16558635,0,True,False,False,False
MI-MAINEXP-16590100,3,True,True,True,False
MI-MAINEXP-16646023,3,True,True,False,True
MI-MAINEXP-16678770,1,False,False,False,False
MI-MAINEXP-16753516,3,True,True,True,True
MI-MAINEXP-16793630,2,False,False,False,False
MI-MAINEXP-16804009,0,True,True,True,False
MI-MAINEXP-16806672,3,True,False,False,False
MI-MAINEXP-16913077,2,False,False,False,False
MI-MAINEXP-16921776,3,True,False,False,False
MI-MAINEXP-16925383,2,True,True,True,False
MI-MAINEXP-16950502,1,False,False,False,False
MI-MAINEXP-16956222,0,False,True,True,False
MI-MAINEXP-16973438,0,False,False,False,False
MI-MAINEXP-17016195,3,True,True,True,False
MI-MAINEXP-17018826,3,True,False,False,False
MI-MAINEXP-17080535,1,False,False,False,False
MI-MAINEXP-17082210,3,False,False,False,False
MI-MAINEXP-17084595,3,True,True,False,True
MI-MAINEXP-17088241,1,True,True,True,True
MI-MAINEXP-17102178,0,False,False,False,False
