nr_topics,n_topics_actual,n_docs,outlier_share,largest_topic_share,mean_intra_topic_cosine,silhouette
10,9,25952,0.311767879161529,0.7426795812104585,0.3834758400917053,0.08431542664766312
20,19,25952,0.311767879161529,0.2823470130451822,0.3859183192253113,0.08799789845943451
30,29,25952,0.311767879161529,0.2042438833212026,0.4027199149131775,0.08921466022729874
40,39,25952,0.311767879161529,0.14383293208666928,0.41456323862075806,0.09414259344339371
50,49,25952,0.311767879161529,0.14383293208666928,0.426125168800354,0.1021055057644844
